Year,PH
1750,8.928948465668396
1751,8.878739027107047
1752,8.849217127030977
1753,8.828150865555916
1754,8.811693759746042
1755,8.79823658263566
1756,8.786781538635168
1757,8.776732493755803
1758,8.767817111070286
1759,8.75979659437781
1760,8.752465511137661
1761,8.745672472223626
1762,8.739353451539543
1763,8.733423511654273
1764,8.72784902050236
1765,8.72256806040121
1766,8.717553781942296
1767,8.712761085714432
1768,8.708155492520426
1769,8.70372190448761
1770,8.699445383334368
1771,8.695327539406925
1772,8.691360894567413
1773,8.687552142869176
1774,8.683882940454463
1775,8.68031263391323
1776,8.6768383284652
1777,8.673456780910888
1778,8.670167287282549
1779,8.666962898682183
1780,8.663828927404388
1781,8.660760071643807
1782,8.657755365376799
1783,8.654789148237793
1784,8.65187370106076
1785,8.648994257606695
1786,8.646152856687403
1787,8.643359705165237
1788,8.640611312364268
1789,8.637886415454854
1790,8.635191703715233
1791,8.632527674854689
1792,8.62983872029496
1793,8.627204033261947
1794,8.6246376183081
1795,8.622181804096948
1796,8.619827432421602
1797,8.61755091736436
1798,8.615244435799738
1799,8.612593841892611
1800,8.60955368863581
1801,8.606707753972321
1802,8.603274557100331
1803,8.6008589863468
1804,8.59834852839626
1805,8.595961659727571
1806,8.593545909070645
1807,8.590963319442057
1808,8.588517907457245
1809,8.586098196132182
1810,8.583557362983699
1811,8.581061495710104
1812,8.578611749113714
1813,8.576220397767747
1814,8.57384967284834
1815,8.571481910025712
1816,8.56909090935361
1817,8.566587982516438
1818,8.564067225029005
1819,8.561653409793307
1820,8.559326925776173
1821,8.55701541742096
1822,8.554692870971122
1823,8.552347313513767
1824,8.550027270352315
1825,8.547658946570582
1826,8.545341983308626
1827,8.542940711859126
1828,8.540584279728622
1829,8.538315268141236
1830,8.535378515059088
1831,8.532735675725085
1832,8.530221454193875
1833,8.527758556158885
1834,8.525222279875598
1835,8.522538495365257
1836,8.519704030419607
1837,8.516994520449126
1838,8.51439200547826
1839,8.511791704222535
1840,8.509076581931183
1841,8.506387744373095
1842,8.50364551970897
1843,8.500944367285147
1844,8.498156399187122
1845,8.495229922484569
1846,8.492371389688522
1847,8.489398695871564
1848,8.48649756498006
1849,8.483530349531737
1850,8.480502444017414
1851,8.477569231437581
1852,8.474629482499653
1853,8.471675779894268
1854,8.468354566448543
1855,8.465118344216837
1856,8.461821519836429
1857,8.45864000321291
1858,8.455547633962599
1859,8.452406720344937
1860,8.44910970693352
1861,8.445800718668146
1862,8.442577768681
1863,8.43929165238922
1864,8.435909417271137
1865,8.432484769396872
1866,8.42911487382512
1867,8.425673462184305
1868,8.42229947872675
1869,8.418882149088843
1870,8.4155504259948
1871,8.41217064995991
1872,8.408607102632883
1873,8.405005095041027
1874,8.401787663744809
1875,8.398453190765384
1876,8.395222096397232
1877,8.392070014081483
1878,8.389026870986019
1879,8.385904945457199
1880,8.382534395827461
1881,8.379205695440726
1882,8.37584911248073
1883,8.372443016092014
1884,8.36915461774335
1885,8.365987125607706
1886,8.362907028913508
1887,8.359809100236646
1888,8.356528085700361
1889,8.353389634070526
1890,8.350122308022865
1891,8.346852845337969
1892,8.3437017372612
1893,8.340719451663889
1894,8.33775760538796
1895,8.334745389124436
1896,8.33176119109964
1897,8.328762878830211
1898,8.325730646920707
1899,8.322558653522826
1900,8.319362864421784
1901,8.316204187850996
1902,8.313103704360701
1903,8.309869429895814
1904,8.306739990507893
1905,8.30355126806719
1906,8.300365863030807
1907,8.296900275793341
1908,8.293719401715963
1909,8.29055094445384
1910,8.287368819281332
1911,8.284276984163148
1912,8.281165290549358
1913,8.27793911017944
1914,8.275133015503936
1915,8.272470303144848
1916,8.269701050716954
1917,8.266915149326955
1918,8.264268291311922
1919,8.262049549787797
1920,8.259553369993954
1921,8.257432153096914
1922,8.255273077504443
1923,8.252899592102128
1924,8.25059522892818
1925,8.248338722627212
1926,8.246189079844338
1927,8.243913815349625
1928,8.241717811547877
1929,8.239432917830564
1930,8.23738830632825
1931,8.235609000944294
