Year,Sea
1880,-153.3903460274174
1881,-152.8188330387491
1882,-152.24478579367084
1883,-151.6680430271381
1884,-151.08857383885305
1885,-150.50635785669365
1886,-149.92135223376746
1887,-149.33341760064891
1888,-148.7422400651047
1889,-148.14781889023044
1890,-147.5498669754547
1891,-146.9482176410875
1892,-146.34284198005693
1893,-145.7337859315932
1894,-145.12092041007887
1895,-144.5040162170586
1896,-143.88294048899002
1897,-143.25749538033895
1898,-142.62744213108436
1899,-141.99235569643616
1900,-141.35196862868938
1901,-140.70610570288636
1902,-140.05462860852836
1903,-139.397031188392
1904,-138.73324380555195
1905,-138.0628657756928
1906,-137.3856054467588
1907,-136.7005027658692
1908,-136.00786150164583
1909,-135.30737197448335
1910,-134.5986442965036
1911,-133.88155516437237
1912,-133.1556797540451
1913,-132.42028411468596
1914,-131.6762531837976
1915,-130.92371050718134
1916,-130.1619745587507
1917,-129.3906256546003
1918,-128.60979185074498
1919,-127.82073369768956
1920,-127.02211417575403
1921,-126.21510443324239
1922,-125.39929660061382
1923,-124.57350707115508
1924,-123.73770601299827
1925,-122.89178532492487
1926,-122.03592421861605
1927,-121.16921283594937
1928,-120.29169832767583
1929,-119.4025874645103
1930,-118.50278253134817
1931,-117.5934203680805
1932,-116.67544159166583
1933,-115.74838993526544
1934,-114.81147059695216
1935,-113.8641933302847
1936,-112.90555156997411
1937,-111.93476138628452
1938,-110.95254863822207
1939,-109.95824987829555
1940,-108.95075160698912
1941,-107.92975659577561
1942,-106.89529533224297
1943,-105.84714487700765
1944,-104.78509829269878
1945,-103.71149274610295
1946,-102.62527205958276
1947,-101.52507956194941
1948,-100.41015724898119
1949,-99.28116748480575
1950,-98.1360783898679
1951,-96.97366252223027
1952,-95.7936862899775
1953,-94.59565165921214
1954,-93.37918220671733
1955,-92.14250120623146
1956,-90.88429960786044
1957,-89.60387245608412
1958,-88.30059105793104
1959,-86.9732675093459
1960,-85.6204579799632
1961,-84.24208654744847
1962,-82.83725129671609
1963,-81.40454171015084
1964,-79.9424438672956
1965,-78.44963798969884
1966,-76.92462523982203
1967,-75.36638845061856
1968,-73.7731138488664
1969,-72.14247585759676
1970,-70.47138643726585
1971,-68.75820389839802
1972,-67.00097152623269
1973,-65.19735408856104
1974,-63.34755283034373
1975,-61.451457522733946
1976,-59.50652873985845
1977,-57.5113833360015
1978,-55.464475541446845
1979,-53.36434174018949
1980,-51.211309273647345
1981,-49.00664204423573
1982,-46.75075161334867
1983,-44.443310726454555
1984,-42.08253867599869
1985,-39.66663419495573
1986,-37.1947762539545
1987,-34.66523182701228
1988,-32.0757429537076
1989,-29.42549077139634
1990,-26.71346052955714
1991,-23.938357690208505
1992,-21.10198046306411
1993,-18.203701227655245
1994,-15.242878040849831
1995,-12.218181230019013
1996,-9.127640458259606
1997,-5.9708598743066545
1998,-2.748015984962194
1999,0.5422557319542705
2000,3.9017684604669967
2001,7.330993678219073
2002,10.831488165049961
2003,14.407054179460772
2004,18.060329654666702
2005,21.793953514929797
2006,25.61067805755698
2007,29.512930581652
2008,33.50218317734928
2009,37.57694618719077
2010,41.74214243956598
2011,46.00084048705088
2012,50.35439515857317
2013,54.803612921903266
2014,59.34912838642663
2015,63.990933455426216
2016,68.72901947556963
2017,73.56492169790053
2018,78.50065341373636
2019,83.53695630082021
2020,88.66831208809185
2021,93.89963203991738
2022,99.2318209739278
2023,104.6663324474631
2024,110.20456716123283
2025,115.84787295931591
2026,121.59754482916071
2027,127.45482490158508
2028,133.42090245077628
2029,139.49691389429108
2030,145.68394279305573
2031,151.98301985136584
2032,158.39512291688652
2033,164.92117698065238
2034,171.56205417706735
2035,178.31857378390504
2036,185.1915022223082
2037,192.18155305678937
2038,199.28938699523025
2039,206.51561188888218
2040,213.86078273236592
2041,221.32540166367158
2042,228.90991796415898
2043,236.61472805855703
2044,244.44017551496438
2045,252.386551044849
2046,260.45409250304834
2047,268.6429848877694
2048,276.9533603405884
2049,285.3852981464513
2050,293.9388247336733
2051,302.6139401022544
2052,311.41064425219463
2053,320.3289371834939
2054,329.3688188961524
2055,338.53028939016997
2056,347.81334866554664
2057,357.2179967222824
2058,366.7442335603773
2059,376.39205917983134
2060,386.1614735806445
2061,396.0524767628167
2062,406.06506872634804
2063,416.19924947123855
2064,426.4550189974881
2065,436.83237730509677
2066,447.3313243940646
2067,457.9518602643915
2068,468.6939849160775
2069,479.5576983491227
2070,490.5430005635269
2071,501.64989155929027
2072,512.8783713364128
2073,524.2284398948943
2074,535.700097234735
2075,547.2933433559349
2076,559.0081782584939
2077,570.8446019424119
2078,582.8026144076891
2079,594.8822156543254
2080,607.0834056823207
2081,619.4061844916754
2082,631.850552082389
2083,644.4165084544617
2084,657.1040536078935
2085,669.9131875426846
2086,682.8439102588346
2087,695.8962217563438
2088,709.0701220352121
2089,722.3656110954395
2090,735.782688937026
2091,749.3213555599717
2092,762.9816109642765
2093,776.7634551499403
2094,790.6668881169633
2095,804.6919098653455
2096,818.8385203950867
2097,833.106719706187
2098,847.4965077986465
2099,862.007884672465
2100,876.6408503276427
